# Box-X Box-Z D Err 
6.88144 10.6652 0.000555277791138 0.000118906070422
6.88116 10.6635 0.000463552727139 8.33462916012e-05
6.87993 10.6626 0.000487507331223 0.00012506670192
6.88001 10.6625 0.000397956048658 0.000141565668417
6.88225 10.6578 0.000388407593894 0.000148334608952
6.88292 10.6689 0.000500002439138 0.00026291220348
7.79542 10.7344 0.000667204738406 0.000212963656971
7.79091 10.7594 0.000723661504914 0.000197531227421
7.79351 10.737 0.000870111026101 0.000264188608817
7.79392 10.7357 0.000944618194146 0.000319273627567
7.79551 10.747 0.000733085888218 0.000215179894888
7.7947 10.7325 0.000632341494298 0.000378023505006
9.38576 9.824 0.00179188500418 0.000592867563971
9.38505 9.82163 0.00195819144765 0.000731948380269
9.38391 9.83069 0.00174145418209 0.000407772838213
9.38635 9.81693 0.00159351771887 0.000660106205255
9.38618 9.8146 0.00124119778736 0.000364027902688
9.38531 9.8167 0.00229207910882 0.000565537541074
10.2887 9.95457 0.00225833953396 0.000681093985682
10.2914 9.94466 0.00187423303166 0.000944370068165
10.2904 9.95464 0.00265453890624 0.000984317458417
10.2889 9.94281 0.00216653323078 0.00101837757754
10.2911 9.94632 0.00194494188751 0.000524200278876
10.2924 9.95541 0.00136642264906 0.000743461779892
12.0472 10.1972 0.00293710859558 0.000917812216698
12.0453 10.2014 0.00383169400279 0.000854417745213
12.0481 10.1915 0.00365812974559 0.00101292807221
12.0477 10.194 0.00422050715345 0.0011697868399
12.0462 10.1958 0.00336756353847 0.000786102656609
12.0502 10.1846 0.0023909607984 0.000871099818449
14.5273 9.74311 0.00561075516866 0.00188720543354
14.5281 9.74022 0.00401800495512 0.00182693119287
14.5262 9.74281 0.00530347620121 0.00140921823485
14.5263 9.7392 0.00455145591404 0.0011648288934
14.5266 9.74876 0.00643257121929 0.00127902828052
14.5274 9.74111 0.00258842283197 0.00100965275438
16.9633 9.46762 0.00563105222352 0.00148932384685
16.9648 9.4652 0.00999047530396 0.00209385593283
16.9576 9.47397 0.00601892792623 0.00161443384404
16.9633 9.46725 0.00618903716831 0.00137105130893
16.9656 9.46389 0.00569880439521 0.00226830794137
16.9637 9.46995 0.00821064962933 0.00341787805018
18.6279 9.71265 0.00548521961598 0.00135804847991
18.6295 9.71484 0.00466055252524 0.00163131164955
18.628 9.71878 0.00840443621827 0.00151871946831
18.6282 9.71691 0.00753712838837 0.0025403840125
18.6292 9.71651 0.00425999073329 0.00157432598729
18.6307 9.71283 0.00595143939854 0.00158471422011
21.1109 9.46097 0.00593352591532 0.00127431345522
21.1105 9.46162 0.00532050942173 0.00245164286706
21.1112 9.46208 0.00765202964153 0.00241520883588
21.1097 9.46542 0.013441803107 0.00405586533718
21.1097 9.46514 0.00687361773426 0.00170073650329
21.108 9.4665 0.011250721145 0.00252747850383
25.2172 9.48131 0.00759953249276 0.00249037451218
25.2158 9.47972 0.0160589398159 0.00405255423762
25.2153 9.4794 0.0110170691766 0.00237686503592
25.2164 9.47853 0.00992518169239 0.00374523685376
25.2183 9.47913 0.0056783356525 0.00275566708916
25.2161 9.47916 0.0107778006455 0.00336219632713
29.3434 9.47905 0.00990483252741 0.00392430829478
29.3443 9.4784 0.00879218815402 0.00245709749816
29.3454 9.47635 0.0104450814927 0.0028398494683
29.3426 9.48141 0.0136515677882 0.00455181144998
29.3433 9.48199 0.00978217272314 0.0020404030622
29.3437 9.48026 0.00730663255949 0.00238255876862
