# Box-X Box-Z D Err 
6.87095 7.17245 0.0210199250845 0.00152527264054
6.87406 7.16988 0.0202025920843 0.00165342697316
6.87276 7.1825 0.0219171292145 0.00199181955257
6.87127 7.1722 0.0206389972445 0.00190292871426
6.87023 7.17104 0.0200336049021 0.00132256627742
6.87181 7.16795 0.0199820071885 0.00137905214501
6.87987 10.6545 0.0192121550826 0.00104097594104
6.8814 10.6732 0.0227561030146 0.001491751263
6.88238 10.6548 0.0205030405177 0.00125905256974
6.88433 10.6637 0.0197720884533 0.00103178655023
6.88211 10.6614 0.0200929188165 0.00180889718554
6.87936 10.6663 0.0203505011124 0.00121843019861
6.88587 13.7832 0.0217123573351 0.00154350896903
6.88423 13.7879 0.0206883721271 0.00165129735118
6.88185 13.8135 0.0202708306802 0.00191871677507
6.88497 13.8044 0.0230007764963 0.00171540713727
6.88248 13.7938 0.0209662538948 0.0016880147139
6.88565 13.7985 0.0206733060591 0.00144643442074
6.8874 17.0115 0.0216303196716 0.00148498941212
6.88262 17.0322 0.0224563679581 0.00177187100259
6.88014 17.0261 0.019118624199 0.00164142132511
6.88751 16.9985 0.0195385455474 0.00171946711503
6.88383 17.0178 0.0232625177682 0.00124543985845
6.88669 17.0119 0.0202247878845 0.00202449042254
6.88393 20.2111 0.0215257160862 0.00181312769222
6.88495 20.1894 0.0209299597364 0.00148414143095
6.8866 20.1948 0.0205315775747 0.00121058323413
6.88319 20.205 0.0208619856358 0.00145143482822
6.88343 20.2146 0.023457473679 0.00195341722821
6.88492 20.2037 0.0199602812406 0.00207418626872
6.88587 23.3593 0.0202520383874 0.00226659152609
6.88772 23.3613 0.0214915625094 0.00164018817516
6.88572 23.3753 0.0196521690595 0.00155656174301
6.88508 23.3707 0.0203713286167 0.00197430245889
6.88921 23.3514 0.0210380272511 0.00170833605113
6.88439 23.3726 0.0201063716387 0.00170181359775
